teamA_win,teamA_top_winrate_past_50_games,teamA_top_winrate_past_10_games,teamA_top_winrate_on_champ_past_50_games,teamA_top_winrate_on_champ_past_10_games,teamA_top_gold_per_min_on_champ_past_10_games,teamA_top_kill_participation_on_champ_past_10_games,teamA_top_kda_on_champ_past_10_games,teamA_top_num_games_played_on_champ_past_50_games,teamA_jg_winrate_past_50_games,teamA_jg_winrate_past_10_games,teamA_jg_winrate_on_champ_past_50_games,teamA_jg_winrate_on_champ_past_10_games,teamA_jg_gold_per_min_on_champ_past_10_games,teamA_jg_kill_participation_on_champ_past_10_games,teamA_jg_kda_on_champ_past_10_games,teamA_jg_num_games_played_on_champ_past_50_games,teamA_mid_winrate_past_50_games,teamA_mid_winrate_past_10_games,teamA_mid_winrate_on_champ_past_50_games,teamA_mid_winrate_on_champ_past_10_games,teamA_mid_gold_per_min_on_champ_past_10_games,teamA_mid_kill_participation_on_champ_past_10_games,teamA_mid_kda_on_champ_past_10_games,teamA_mid_num_games_played_on_champ_past_50_games,teamA_adc_winrate_past_50_games,teamA_adc_winrate_past_10_games,teamA_adc_winrate_on_champ_past_50_games,teamA_adc_winrate_on_champ_past_10_games,teamA_adc_gold_per_min_on_champ_past_10_games,teamA_adc_kill_participation_on_champ_past_10_games,teamA_adc_kda_on_champ_past_10_games,teamA_adc_num_games_played_on_champ_past_50_games,teamA_supp_winrate_past_50_games,teamA_supp_winrate_past_10_games,teamA_supp_winrate_on_champ_past_50_games,teamA_supp_winrate_on_champ_past_10_games,teamA_supp_gold_per_min_on_champ_past_10_games,teamA_supp_kill_participation_on_champ_past_10_games,teamA_supp_kda_on_champ_past_10_games,teamA_supp_num_games_played_on_champ_past_50_games,teamA_winrate_past_50_games,teamA_winrate_past_10_games,teamA_average_kill_participation_past_10_games,teamA_average_gold_per_min_past_10_games,teamB_top_winrate_past_50_games,teamB_top_winrate_past_10_games,teamB_top_winrate_on_champ_past_50_games,teamB_top_winrate_on_champ_past_10_games,teamB_top_gold_per_min_on_champ_past_10_games,teamB_top_kill_participation_on_champ_past_10_games,teamB_top_kda_on_champ_past_10_games,teamB_top_num_games_played_on_champ_past_50_games,teamB_jg_winrate_past_50_games,teamB_jg_winrate_past_10_games,teamB_jg_winrate_on_champ_past_50_games,teamB_jg_winrate_on_champ_past_10_games,teamB_jg_gold_per_min_on_champ_past_10_games,teamB_jg_kill_participation_on_champ_past_10_games,teamB_jg_kda_on_champ_past_10_games,teamB_jg_num_games_played_on_champ_past_50_games,teamB_mid_winrate_past_50_games,teamB_mid_winrate_past_10_games,teamB_mid_winrate_on_champ_past_50_games,teamB_mid_winrate_on_champ_past_10_games,teamB_mid_gold_per_min_on_champ_past_10_games,teamB_mid_kill_participation_on_champ_past_10_games,teamB_mid_kda_on_champ_past_10_games,teamB_mid_num_games_played_on_champ_past_50_games,teamB_adc_winrate_past_50_games,teamB_adc_winrate_past_10_games,teamB_adc_winrate_on_champ_past_50_games,teamB_adc_winrate_on_champ_past_10_games,teamB_adc_gold_per_min_on_champ_past_10_games,teamB_adc_kill_participation_on_champ_past_10_games,teamB_adc_kda_on_champ_past_10_games,teamB_adc_num_games_played_on_champ_past_50_games,teamB_supp_winrate_past_50_games,teamB_supp_winrate_past_10_games,teamB_supp_winrate_on_champ_past_50_games,teamB_supp_winrate_on_champ_past_10_games,teamB_supp_gold_per_min_on_champ_past_10_games,teamB_supp_kill_participation_on_champ_past_10_games,teamB_supp_kda_on_champ_past_10_games,teamB_supp_num_games_played_on_champ_past_50_games,teamB_winrate_past_50_games,teamB_winrate_past_10_games,teamB_average_kill_participation_past_10_games,teamB_average_gold_per_min_past_10_games,teamA_top_winrate_pro_past_10_games,teamA_jg_winrate_pro_past_10_games,teamA_mid_winrate_pro_past_10_games,teamA_adc_winrate_pro_past_10_games,teamA_supp_winrate_pro_past_10_games,teamB_top_winrate_pro_past_10_games,teamB_jg_winrate_pro_past_10_games,teamB_mid_winrate_pro_past_10_games,teamB_adc_winrate_pro_past_10_games,teamB_supp_winrate_pro_past_10_games,teamA_top_winrate_pro_past_50_games,teamA_jg_winrate_pro_past_50_games,teamA_mid_winrate_pro_past_50_games,teamA_adc_winrate_pro_past_50_games,teamA_supp_winrate_pro_past_50_games,teamB_top_winrate_pro_past_50_games,teamB_jg_winrate_pro_past_50_games,teamB_mid_winrate_pro_past_50_games,teamB_adc_winrate_pro_past_50_games,teamB_supp_winrate_pro_past_50_games,top_matchup_winrate_pro_current_season,jg_matchup_winrate_pro_current_season,mid_matchup_winrate_pro_current_season,adc_matchup_winrate_pro_current_season,supp_matchup_winrate_pro_current_season
1,0.78,0.6,0.58,0.7,417.72,0.47,13.5,5,0.78,0.6,0.67,0.7,371.52,0.45,5.15,4,0.78,0.6,0.86,0.8,440.2,0.67,11.0,14,0.78,0.6,0.8,0.7,523.03,0.67,8.8,15,0.78,0.6,0.56,0.56,233.37,0.44,4.18,3,0.82,0.7,0.64,1879.42,0.6,0.4,0.64,0.7,372.23,0.54,7.57,4,0.57,0.4,0.5,0.5,415.15,0.42,9.0,6,0.6,0.4,0.5,0.5,438.79,0,6.75,0,0.6,0.4,0.73,0.8,488.83,0.66,6.07,11,0.6,0.4,0.7,0.7,256.63,0.53,4.78,10,0.62,0.4,0.66,1792.9,0.4,0.5,0.3,0.7,0.5,0.6,0.4,0.7,0.3,0.6,0.46,0.38,0.44,0.5,0.56,0.58,0.48,0.52,0.48,0.48,0.42,0.52,0.3,0.56,0.48
1,0.8,0.8,0.84,0.9,447.13,0.46,5.62,14,0.8,0.8,0.82,0.9,338.28,0.64,25.0,13,0.8,0.8,0.75,0.75,417.79,0.49,0,0,0.8,0.8,0.0,0.0,0,0.0,0,0,0.8,0.8,0.71,0.8,275.11,0.65,12.78,11,0.82,0.8,0.6,1926.95,0.46,0.4,0.81,0.7,426.79,0.49,5.64,6,0.46,0.4,0.74,0.6,361.9,0.64,8.62,7,0.58,0.4,0.0,0.0,0,0.0,0,0,0.46,0.4,0.5,0.5,549.08,0.46,5.67,3,0.46,0.4,0.33,0.33,260.36,0.42,6.0,5,0.46,0.4,0.56,1766.65,0.4,0.7,0.4,0.6,0.7,0.4,0.4,0.6,0.4,0.2,0.52,0.68,0.46,0.56,0.46,0.54,0.38,0.52,0.52,0.5,0.62,0.48,0.67,0,0.66
0,0.48,0.5,0.62,0.6,399.39,0.62,5.83,6,0.48,0.5,0.47,0.6,345.3,0.54,23.0,12,0.6,0.5,0.5,0.5,415.19,0.41,5.3,4,0.48,0.5,0.55,0.5,519.05,0.56,8.5,3,0.48,0.5,0.5,0.5,267.64,0.56,17.75,5,0.48,0.5,0.59,1805.7,0.78,0.7,0.5,0.5,490.18,0.24,0,2,0.78,0.7,0.69,0.8,359.01,0.69,7.85,5,0.78,0.7,0.83,0.83,466.34,0.6,11.6,1,0.78,0.7,0.73,0.7,553.52,0.65,19.2,7,0.78,0.7,1.0,1.0,271.8,0.75,14.33,1,0.82,0.8,0.52,1926.95,0.5,0.8,0.2,0.5,0.7,0.3,0.3,0.6,0.5,0.6,0.48,0.7,0.34,0.48,0.6,0.42,0.38,0.58,0.48,0.5,0.62,0.5,0.3,0.5,0.38
1,0.76,0.6,0.5,0.5,394.28,0.21,7.0,0,0.76,0.6,0.67,0.7,362.43,0.59,6.69,4,0.76,0.6,0.71,0.71,424.19,0.49,25.5,1,0.76,0.6,0.71,0.7,548.6,0.63,13.14,6,0.76,0.6,0.7,0.8,276.12,0.6,11.78,11,0.82,0.8,0.42,1926.95,0.5,0.5,0.78,0.78,454.62,0.62,6.8,9,0.5,0.5,0.5,0.6,345.3,0.54,23.0,11,0.62,0.5,0.62,0.62,448.05,0.56,5.56,7,0.5,0.5,0.86,0.9,483.42,0.54,8.5,1,0.5,0.5,0.86,0.9,275.09,0.79,56.0,0,0.5,0.5,0.56,1806.74,0.6,0.2,0.5,0.4,0.6,0.3,0.9,0.6,0.5,0.5,0.48,0.36,0.5,0.46,0.44,0.42,0.72,0.56,0.56,0.52,0,0.48,0.58,0.48,0.59
1,0.5,0.5,0.8,0.7,431.14,0.42,5.67,5,0.5,0.5,0.8,0.8,423.58,0.65,18.67,2,0.6,0.5,0.25,0.25,384.24,0.25,6.0,4,0.5,0.5,0.67,0.8,498.38,0.65,12.14,15,0.5,0.5,0.45,0.5,279.46,0.6,18.75,5,0.5,0.5,0.52,1806.74,0.8,0.6,0.77,0.7,407.07,0.41,5.36,20,0.8,0.6,1.0,1.0,364.15,0.88,20.5,3,0.8,0.6,0.73,0.7,421.63,0.53,9.67,2,0.8,0.6,0.8,0.9,555.32,0.69,26.25,11,0.8,0.6,0.81,0.8,246.99,0.64,4.29,9,0.84,0.8,0.6,1913.52,0.5,0.5,0.5,0.6,0.6,0.5,0.2,0.3,0.5,0.4,0.52,0.38,0.62,0.54,0.58,0.44,0.42,0.42,0.46,0.42,0.48,0.17,0,0.56,0.58
0,0.52,0.5,0.7,0.7,376.6,0.37,6.62,5,0.52,0.5,0.71,0.71,333.78,0.58,10.6,6,0.62,0.5,0.33,0.33,384.24,0.31,6.0,3,0.52,0.5,0.7,0.7,522.33,0.59,9.38,4,0.52,0.5,0.5,0.5,279.46,0.52,18.75,4,0.52,0.6,0.48,1841.09,0.78,0.5,1.0,1.0,470.85,0.69,0,0,0.78,0.5,1.0,1.0,360.38,0.86,21.67,4,0.78,0.5,0.8,0.8,413.84,0.73,11.0,2,0.78,0.5,0.83,0.83,472.83,0.57,9.2,2,0.78,0.5,0.8,0.8,247.07,0.57,4.5,8,0.84,0.8,0.46,1913.52,0.6,0.2,0.6,0.6,0.6,0.5,0.8,0.3,0.6,0.4,0.54,0.44,0.62,0.48,0.6,0.52,0.64,0.38,0.52,0.42,0.0,0.6,0.52,0.46,0.58
1,0.78,0.5,0.55,0.6,420.62,0.43,12.5,4,0.78,0.5,1.0,1.0,360.3,0.91,26.0,3,0.78,0.5,0.67,0.67,476.93,0.52,9.0,3,0.78,0.5,0.79,0.8,554.61,0.59,22.75,10,0.78,0.5,0.79,0.8,247.12,0.55,4.11,7,0.84,0.8,0.47,1913.52,0.54,0.6,0.88,0.88,454.62,0.66,6.8,8,0.54,0.6,0.71,0.71,408.08,0.53,6.5,2,0.62,0.6,0.0,0.0,0,0.0,0,0,0.54,0.6,0.58,0.5,519.05,0.54,8.5,3,0.54,0.6,0.56,0.56,279.46,0.57,18.75,3,0.54,0.6,0.59,1838.89,0.4,0.8,0.3,0.5,0.4,0.6,0.7,0.2,0.9,0.7,0.48,0.64,0.48,0.48,0.42,0.46,0.52,0.5,0.5,0.62,0.55,0.0,0.82,0.5,0.4
0,0.78,0.6,0.79,0.8,406.03,0.47,5.46,19,0.78,0.6,0.86,0.9,402.56,0.61,9.82,16,0.78,0.6,0.91,0.9,403.05,0.72,12.11,10,0.78,0.6,0.82,0.9,543.83,0.68,14.43,9,0.78,0.6,0.85,0.8,247.12,0.52,4.11,6,0.84,0.8,0.56,1920.74,0.54,0.6,0.86,0.86,448.48,0.63,7.12,7,0.54,0.6,0.73,0.6,359.86,0.65,8.75,7,0.6,0.6,0.68,0.5,437.2,0.43,4.5,15,0.54,0.6,0.65,0.7,498.64,0.56,12.33,15,0.54,0.6,0.5,0.5,282.37,0.53,20.67,2,0.54,0.6,0.61,1838.89,0.6,0.7,0.6,0.5,0.5,0.5,0.3,0.6,0.6,0.7,0.44,0.52,0.54,0.48,0.44,0.46,0.36,0.48,0.52,0.6,0.5,0.48,0.52,0.48,0.42
1,0.52,0.5,0.83,0.83,451.86,0.59,6.57,6,0.52,0.5,0.47,0.5,350.47,0.44,18.67,10,0.6,0.5,0.67,0.5,444.04,0.44,4.18,14,0.52,0.5,0.67,0.67,527.07,0.55,9.0,3,0.52,0.5,0.43,0.43,301.16,0.49,25.0,1,0.54,0.6,0.51,1838.89,0.78,0.7,0.6,0.6,420.62,0.43,12.5,3,0.78,0.7,0.69,0.8,357.88,0.77,17.14,12,0.78,0.7,1.0,1.0,442.63,0.84,0,1,0.78,0.7,0.86,0.8,519.94,0.67,8.25,14,0.78,0.7,1.0,1.0,238.42,0.5,3.0,0,0.84,0.9,0.57,1958.22,0.5,0.5,0.6,0.4,0.7,0.4,0.4,0.4,0.5,1.0,0.46,0.68,0.48,0.46,0.6,0.48,0.36,0.36,0.48,1.0,0.4,0.46,0.57,0.42,0
0,0.6,0.5,0.4,0.4,441.01,0.41,9.67,5,0.59,0.5,1.0,1.0,340.88,0.57,6.0,1,0.6,0.5,0.55,0.6,461.98,0.51,8.0,12,0.6,0.5,0.6,0.6,484.54,0.52,8.62,15,0.6,0.5,0.31,0.3,257.79,0.48,8.8,7,0.64,0.5,0.66,1831.13,0.76,0.7,0.56,0.56,420.45,0.43,15.0,2,0.76,0.7,0.0,0.0,0,0.0,0,0,0.76,0.7,0.9,0.9,405.96,0.72,12.0,9,0.76,0.7,0.81,0.9,551.23,0.76,18.67,8,0.76,0.7,0.89,0.89,242.73,0.72,6.53,9,0.84,0.9,0.61,1958.22,0.3,0.5,0.3,0.4,0.4,0.3,0.4,0.6,0.6,0.5,0.44,0.58,0.44,0.56,0.44,0.44,0.48,0.5,0.52,0.5,0.38,0.0,0.49,0.57,0.63
0,0.62,0.5,0.87,0.9,423.69,0.54,5.12,14,0.61,0.5,0.0,0.0,0,0.0,0,0,0.62,0.5,0.75,0.75,538.96,0.75,6.42,7,0.62,0.5,0.64,0.7,498.7,0.56,9.56,14,0.62,0.5,0.0,0.0,0,0,0,0,0.64,0.6,0.58,1867.1,0.76,0.6,0.0,0.0,0,0.0,0,0,0.76,0.6,0.86,0.9,405.84,0.67,10.73,16,0.76,0.6,0.85,0.8,436.37,0.71,9.4,13,0.76,0.6,0.8,0.8,463.85,0.52,7.0,3,0.76,0.6,1.0,1.0,284.93,0.8,15.0,2,0.84,0.9,0.55,1958.22,0.5,0.7,0.7,0.4,0.6,0.2,0.3,0.3,0.7,0.5,0.46,0.6,0.52,0.56,0.73,0.5,0.46,0.42,0.52,0.54,0.43,0.6,0.52,0.52,0
